ticket_key,email_count_per_ticket,avg_sentiment,sentiment_variance,sentiment_trend,priority_numeric,subject_length,unique_senders,description_length,is_stalled,has_enough_emails,email_volume_per_ticket,priority,status,project.key,issuetype.name,type_Bug,type_Improvement,type_New Feature,type_Sub-task,type_Task,type_Test,type_Wish,proj_HADOOP,proj_HDFS,proj_MAPREDUCE,proj_YARN
HADOOP-17730,33,0.28690000000000004,0.5519298698657286,0.09711948529411765,3,7.212121212121212,14,119,0,1,33,Major,Resolved,HADOOP,Bug,1,0,0,0,0,0,0,1,0,0,0
HADOOP-17739,19,0.3377684210526316,0.6741989461185536,-0.0106155555555556,3,6.894736842105263,12,0,0,1,19,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-17746,3,0.5221333333333333,0.5954437113055552,-0.47709999999999997,2,7.0,3,42,0,1,3,Minor,Resolved,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-17752,1,0.4883,0.0,0.0,3,12.0,1,26,1,0,1,Major,Open,HADOOP,Sub-task,0,0,0,1,0,0,0,1,0,0,0
HADOOP-17784,1,0.899,0.0,0.0,3,12.0,1,49,0,0,1,Major,Resolved,HADOOP,Test,0,0,0,0,0,1,0,1,0,0,0
HADOOP-17787,2,0.3536,0.22429427099237284,0.3172,3,11.0,1,8,0,1,2,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-17798,15,0.3204266666666667,0.6309405433462769,0.41881785714285713,3,10.866666666666667,8,133,0,1,15,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-17799,11,0.3493909090909091,0.6777300413210933,0.18874333333333332,3,11.0,7,31,0,1,11,Major,Resolved,HADOOP,Task,0,0,0,0,1,0,0,1,0,0,0
HADOOP-17813,1,0.7579,0.0,0.0,3,11.0,1,14,0,0,1,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-17819,9,0.8755222222222222,0.08489850967151574,-0.012514999999999832,3,8.0,3,36,0,1,9,Major,Resolved,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
HADOOP-17839,1,-0.3071,0.0,0.0,3,7.0,1,142,1,0,1,Major,Open,HADOOP,Improvement,0,1,0,0,0,0,0,1,0,0,0
